Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A review on degradation models in reliability analysis","Degradation models play a crucial role in reliability analysis, providing valuable information for asset health and reliability prediction.","Nima Gorjian, Lin Ma, M. Mittinty, P. Yarlagadda, Yong Sun",2010,239,"With increasingly complex engineering assets and tight economic requirements, asset reliability becomes more crucial in Engineering Asset Management (EAM). Improving the reliability of systems has always been a major aim of EAM. Reliability assessment using degradation data has become a significant approach to evaluate the reliability and safety of critical systems. Degradation data often provide more information than failure time data for assessing reliability and predicting the remnant life of systems. In general, degradation is the reduction in performance, reliability, and life span of assets. Many failure mechanisms can be traced to an underlying degradation process. Degradation phenomenon is a kind of stochastic process; therefore, it could be modelled in several approaches. Degradation modelling techniques have generated a great amount of research in reliability field. While degradation models play a significant role in reliability analysis, there are few review papers on that. This paper presents a review of the existing literature on commonly used degradation models in reliability analysis. The current research and developments in degradation models are reviewed and summarised in this paper. This study synthesises these models and classifies them in certain groups. Additionally, it attempts to identify the merits, limitations, and applications of each model. It provides potential applications of these degradation models in asset health and reliability prediction.","literature review","","","10.1007/978-0-85729-320-6_42","https://consensus.app/papers/a-review-on-degradation-models-in-reliability-analysis-gorjian-ma/ff2f53eca1435c66b90cacc07794b3c5/"
"Estimating Degradation of Machine Learning Data Assets","Our index is a computationally light and incremental method for estimating the severity of machine learning data asset degradation due to untrustworthy data sources.","Lara Mauri, E. Damiani",2021,21,"Large-scale adoption of Artificial Intelligence and Machine Learning (AI-ML) models fed by heterogeneous, possibly untrustworthy data sources has spurred interest in estimating degradation of such models due to spurious, adversarial, or low-quality data assets. We propose a quantitative estimate of the severity of classifiers’ training set degradation: an index expressing the deformation of the convex hulls of the classes computed on a held-out dataset generated via an unsupervised technique. We show that our index is computationally light, can be calculated incrementally and complements well existing ML data assets’ quality measures. As an experimentation, we present the computation of our index on a benchmark convolutional image classifier.","","ACM Journal of Data and Information Quality (JDIQ)","2","10.1145/3446331","https://consensus.app/papers/estimating-degradation-of-machine-learning-data-assets-mauri-damiani/39881df623325c3da2193d63c5beedb5/"
"Model Hemorrhage and the Robustness Limits of Large Language Models","Model hemorrhage in large language models can be mitigated through gradient-aware pruning, dynamic quantization scaling, and decoding calibration, ensuring performance and efficient deployment.","Ziyang Ma, Zuchao Li, Lefei Zhang, Gui-Song Xia, Bo Du, Liangpei Zhang, Dacheng Tao",2025,1,"Large language models (LLMs) demonstrate strong performance across natural language processing tasks, yet undergo significant performance degradation when modified for deployment through quantization, pruning, or decoding strategy adjustments. We define this phenomenon as model hemorrhage - performance decline caused by parameter alterations and architectural changes. Through systematic analysis of various LLM frameworks, we identify key vulnerability patterns: layer expansion frequently disrupts attention mechanisms, compression techniques induce information loss cascades, and decoding adjustments amplify prediction divergences. Our investigation reveals transformer architectures exhibit inherent robustness thresholds that determine hemorrhage severity across modification types. We propose three mitigation strategies: gradient-aware pruning preserves critical weight pathways, dynamic quantization scaling maintains activation integrity, and decoding calibration aligns generation trajectories with original model distributions. This work establishes foundational metrics for evaluating model stability during adaptation, providing practical guidelines for maintaining performance while enabling efficient LLM deployment. Our findings advance understanding of neural network resilience under architectural transformations, particularly for large-scale language models.","","ArXiv","","10.48550/arxiv.2503.23924","https://consensus.app/papers/model-hemorrhage-and-the-robustness-limits-of-large-ma-li/b68cc5eddf755ab89350a6f67b53676b/"
"Simulating the degradation and maintenance effects on an integrated urban transport infrastructure system","This paper proposes a system-wide transport infrastructure condition prediction model, which can predict future conditions and impact traveller distributions in urban transport networks.","E. Silva, Z. Bingyu, K. Soga",2016,1,"© The authors and ICE Publishing: All rights reserved, 2016. Degradation is a major issue faced by transport infrastructures. Its negative effects and the associated maintenance costs are usually studied through degradation modelling. Current models for individual infrastructures are experiencing limitations in modem multimodal transport networks. This paper starts the discussion towards a system-wide infrastructure condition prediction model, giving emphasis to network-level interconnections and the commonalities in the degradation of different infrastructures. Existing transport infrastructure degradation models and techniques for large scalc dynamics simulation are first reviewed. Based on these, a new model is proposed for the system-wide simulation, including key attributes, variables, inputs, data structures and dynamics. In Geographic Information System (GIS), infrastructure locations, conditions as well as the condition-influencing factors are stored in cell-based maps, which forms the basis for degradation simulation in Cellular Automata (CA). Key parameters that control the interaction arc calibrated to match actual observations. Once calibrated, the model can predict infrastructure conditions under future scenarios. A case study is presented. which runs at low resolution to demonstrate the overall procedures. Options for enhancing the resolution, such as using High Performance Computing (HPC), arc discussed. Performance of transport infrastructures is not only a large concern of engineers and asset managers. It also has significant social implications. Infrastructure conditions projected by our model can be used to calculate traveller distributions within the network. Once fully developed, the model will provide an integrated platform for engineering, management and social study and show what interesting interactions may happen among different fields.","","","","","https://consensus.app/papers/simulating-the-degradation-and-maintenance-effects-on-an-silva-bingyu/63357f2c86fa578ca887e7a359ff9789/"
"Modeling cascading failures in interdependent infrastructures under terrorist attacks","The attack strength degradation model reveals that interdependent infrastructures, especially oil and power networks, can collapse under terrorist attacks, highlighting the need for mitigation actions.","Baichao Wu, Aiping Tang, Jie Wu",2016,128,"","","Reliab. Eng. Syst. Saf.","1","10.1016/j.ress.2015.10.019","https://consensus.app/papers/modeling-cascading-failures-in-interdependent-wu-tang/a107fbb79a7b5b61aa0efb8d1b6b91f9/"
"Bridge deterioration models for different superstructure types using Markov chains and two-step cluster analysis","The two-step cluster analysis model effectively predicts bridge maintenance needs, highlighting the importance of considering geometry, traffic volume, and other factors in predicting deterioration.","Y.F.M. Moscoso, L. F. Rincón, Stefan L. Leiva-Maldonado, J. A. Campos e Matos",2022,15,"Abstract Bridges deteriorate due to different causes such as ageing and climatic conditions. As a consequence, repair actions are considered more expensive than maintenance. Therefore, the prediction of maintenance at the bridge network level is particularly complex due to the considerable level of heterogeneity spanning various bridge types and functions. Consequently, in this article an analytical deterioration model called ‘two-step cluster analysis’ is presented and applied to predict the results of a homogeneous data set. This model had been used in different fields including civil engineering but not for superstructure deterioration forecasting. Variables that interfere with the performance of the structure were considered, such as geometry, volume of traffic, among others. The results show that deterioration drop rapidly if repair treatments were not performed. Variations of up to 20.9% at 50 years between the degradation of the database and the analysis of groups, demonstrates the importance of grouping within the analysis of the database, since the late maintenance can affect the life of the bridge. Preventive actions could significantly mitigate the deterioration process. The applied methodology benefits from current bridge inspection practice and produces a probabilistic rating that is consistent with the Markov approach for model deterioration and grouping variables.","","Structure and Infrastructure Engineering","1","10.1080/15732479.2022.2119583","https://consensus.app/papers/bridge-deterioration-models-for-different-moscoso-rinc%C3%B3n/207448a9065654a6bc820aff918bb335/"
"Influence of Transfer Learning on Machine Learning Systems Robustness to Data Quality Degradation","Retraining Machine Learning models on corrupted data enhances their robustness to data quality degradation in image classification scenarios, but the impact varies depending on data and system types.","Sergei Chuprov, I. Khokhlov, Leon Reznik, Srujan Shetty",2022,4,"The evolution of the Machine Learning (ML) has led to the emergence of Transfer Learning (TL) approach, which allows reusing pretrained industrial ML systems after their input data values or even an application domain has changed. In this paper, we investigate the TL process and its impact on the performance of ML-end systems with integrated network facilities. Especially, we focus on ML-systems designed for the classification of image media-files, transmitted over a network. Packet loss in a network is considered as a major input Data Quality (DQ) deterioration factor that can result in ML system classification performance degradation after pretraining on good inputs. To investigate the typical industrial TL process, we study the relationships between the ML model's last layer weights, hyperparameters, and classification performance throughout the retraining process. In addition, we conduct an empirical study to evaluate how the TL affects ML model performance in real application scenarios. For our experiments, we employ real image media-files, and transmit them over a real wireless network with inherent data losses for a classification on a remote ML-end system. According to our results, retraining ML models on corrupted data allows to enhance their robustness to a DQ degradation in the considered image classification scenarios. However, DQ influence on the ML system performance may vary depending on the data and system types.","","2022 International Joint Conference on Neural Networks (IJCNN)","","10.1109/ijcnn55064.2022.9892247","https://consensus.app/papers/influence-of-transfer-learning-on-machine-learning-chuprov-khokhlov/ee307573f17d5735802f4845df2e397e/"
"Temporal quality degradation in AI models","AI ""aging"" occurs as AI models age, affecting their quality and reliability in real-life applications.","D. Vela, Andrew Sharp, Richard Zhang, Trang Nguyen, An Hoang, Oleg S. Pianykh",2022,127,"","","Scientific Reports","1","10.1038/s41598-022-15245-z","https://consensus.app/papers/temporal-quality-degradation-in-ai-models-vela-sharp/9f1b12055b1857ddb4b0e99a47333068/"
"Model Degradation Mechanisms for Active Control of Urban Road Traffic","","Lili Zhang, Wenshuo Han, Yao Huang, Wei Wei, Jing Li, Hongxin Tan",2025,0,"In practical traffic control scenarios, the implementation of advanced traffic control models is frequently impeded by real - world limitations. Recurrent malfunctions in sensors and control devices commonly give rise to traffic control model mismatch. To tackle this critical issue, this paper proposes a traffic control model degradation mechanism, drawing inspiration from the principles of biological evolution. The proposed mechanism is systematically expounded upon, taking the existing active control model as the basis. It comprehensively covers the underlying causes of degradation and the detailed degradation process. Through a series of simulation case studies, a comparative analysis is conducted on the control performance of the active control model at different degradation stages. This degradation mechanism provides an essential theoretical foundation for adjusting traffic control implementation models under real - world constraints. It enables the identification and selection of optimal control strategies when the full implementation of advanced models is not feasible, thereby enhancing the adaptability and practicality of traffic control systems.","","IEEE Access","1","10.1109/access.2025.3630588","https://consensus.app/papers/model-degradation-mechanisms-for-active-control-of-urban-zhang-han/df0be08131925587a56c6d9bff082051/"
"A Condition‐Based Deterioration Model for the Stochastic Dependency of Corrosion Rate and Crack Propagation in Corroded Concrete Structures","This paper proposes a new statistical, data-driven state-dependent model for modeling degradation of structures and infrastructures, aiming to improve maintenance planning and prediction of crack propagation in corroded concrete structures.","B. E. Hajj, F. Schoefs, B. Castanier, T. Yeung",2017,29,"Physics‐based models are intensively studied in mechanical and civil engineering but their constant increase in complexity makes them harder to use in a maintenance context, especially when degradation model can/should be updated from new inspection data. On the other hand, Markovian cumulative damage approaches such as Gamma processes seem promising; however, they suffer from lack of acceptability by the civil engineering community due to poor physics considerations. In this article, we want to promote an approach for modeling the degradation of structures and infrastructures for maintenance purposes which can be seen as an intermediate approach between physical models and probabilistic models. A new statistical, data‐driven state‐dependent model is proposed. The construction of the degradation model will be discussed within an application to the cracking of concrete due to chloride‐induced corrosion. Numerical experiments will later be conducted to identify preliminary properties of the model in terms of statistical inferences. An estimation algorithm is proposed to estimate the parameters of the model in cases where databases suffer from irregularities.","","Computer‐Aided Civil and Infrastructure Engineering","","10.1111/mice.12208","https://consensus.app/papers/a-condition%E2%80%90based-deterioration-model-for-the-stochastic-hajj-schoefs/044d771b73035540a14ef369c665b6f5/"
"Emulating long-term weather-driven transportation earthworks deterioration models to support asset management","This study developed a framework to emulate deterministic numerical models of slope deterioration over time using statistical (Gaussian process) emulation, aiding in decision-making for new earthworks and existing earthwork portfolios.","P. Helm, A. Svalova, A.M. Morsy, M. Rouainia, A. Smith, A. El-Hamalawi, D.J. Wilkinson, H. Postill, S. Glendinning",2023,7,"","","Transportation Geotechnics","1","10.1016/j.trgeo.2023.101155","https://consensus.app/papers/emulating-longterm-weatherdriven-transportation-helm-svalova/963ab86891d25238b4db5a35f707890b/"
"Operational Benchmarking of ML Models for Fraud Detection: A Comparative Study on AWS EC2 and ECS","Traditional machine learning models offer the lowest latencies, while deep learning and stacked models show superior scalability under ECS autoscaling for real-time fraud detection on AWS.","Lucas Benevides E Braga, Rodrigo Marins Piaba",2025,0,"Credit card fraud detection increasingly depends not just on model accuracy but on real-time deployment performance and scalability. While many studies benchmark algorithmic improvements in classification precision, this work shifts focus toward the operational deployment layer, a critical yet underexplored aspect of machine learning (ML) systems engineering. We present a comparative benchmark of traditional ML models (logistic regression, XGBoost, LightGBM), deep learning architectures (convolutional and recurrent neural networks, Transformer models), and stacking ensembles across three AWS-based deployment configurations: EC2 virtual machines, single-task ECS Fargate containers, and autoscaled ECS Fargate with load balancing. Rather than measuring predictive accuracy, our experiments systematically evaluate inference latency, throughput (requests per second), reliability, and scalability under load, using containerized Flask APIs exposed via REST endpoints. Load tests were executed with varying user concurrency to simulate production behavior. Results show that traditional ML models offer the lowest latencies, whereas deep learning and stacked models demonstrate superior scalability under ECS autoscaling, achieving latency reductions up to 65% and throughput improvements over 100%. We also analyze runtime (Python 3.9 vs. 3.12) and estimate AWS cost-performance trade-offs. This work provides a reproducible framework for evaluating model-serving infrastructure and offers practical deployment guidance for practitioners building real-time fraud detection systems on AWS.","","IEEE Access","1","10.1109/access.2025.3620247","https://consensus.app/papers/operational-benchmarking-of-ml-models-for-fraud-detection-braga-piaba/3d622f13460b5c5e967af17008b2d2b3/"
"Failure-Resilient ML Inference at the Edge through Graceful Service Degradation","This paper proposes various failover strategies for resource-constrained edge environments, leveraging the flexibility of machine learning models for failure-resilient ML inference.","Walid A. Hanafy, Li Wu, Tarek F. Abdelzaher, S. Diggavi, Prashant J. Shenoy",2023,9,"With recent innovations in machine learning (ML) technologies, especially deep learning, many IoT applications have increasingly relied on ML models for various tasks, such as classification, detection, and decision-making. Most of these tasks are latency-sensitive and depend on models deployed at the edge of the network. Network and edge devices are prone to various kinds of failures, such as transient, crash, or Byzantine failures. Such failures can impact the IoT device’s ability to offload tasks, affecting the system’s reliability. A traditional solution involves replicating the underlying resources and deploying a failover replica of the ML model. However, edge resources are typically limited, and increasing their size incurs significant computational and infrastructure cost overheads.This paper proposes a range of failover strategies for resource-constrained edge environments, leveraging the flexibility offered by ML models. We explore various approaches for graceful service degradation, such as degraded accuracy, latency, and sampling rate, and highlight their potential benefits and trade-offs. Furthermore, we discuss the challenges associated with these techniques and outline future directions.","","MILCOM 2023 - 2023 IEEE Military Communications Conference (MILCOM)","","10.1109/milcom58377.2023.10356302","https://consensus.app/papers/failureresilient-ml-inference-at-the-edge-through-hanafy-wu/d2b629c65644547ea0f62e4049ce4765/"
"Infrastructure deterioration modeling with an inhomogeneous continuous time Markov chain: A latent state approach with analytic transition probabilities","The proposed regime-switching continuous-time Markov chain method provides a statistically superior model for infrastructure deterioration, with comparable accuracy in 48% of the computation time compared to the state-of-the-art inhomogeneous Markov chain.","D. Mizutani, Xian-Xun Yuan",2023,28,"Markov chains have been widely used to characterize performance deterioration of infrastructure assets, to model maintenance effectiveness, and to find the optimal intervention strategies. For long‐lived assets such as bridges, the time‐homogeneity assumptions of Markov chains should be carefully checked. For this purpose, this research proposes a regime‐switching continuous‐time Markov chain of which the state transition probabilities depend on another, latent, Markov chain that characterizes the overall aging regime of an asset. With the aid of a state‐augmentation technique, closed‐form solutions for the transition probabilities are analytically derived, making the statistical analysis simple. A case study is presented using the open Ontario Bridge Condition data for provincial highway bridges. The case study demonstrates that the proposed method allows to (1) estimate a statistically superior model to the homogeneous Markov chain and (2) obtain results with comparable accuracy in approximately 48% of the computation time of the state‐of‐the‐art inhomogeneous Markov chain.","","Computer‐Aided Civil and Infrastructure Engineering","","10.1111/mice.12976","https://consensus.app/papers/infrastructure-deterioration-modeling-with-an-mizutani-yuan/193204d21f615d6c8c6fded648d15362/"
"Improvement of the Inspection Interval of Highway Bridges through Predictive Models of Deterioration","Predictive models of bridge deterioration can improve inspection frequency by considering factors like age, location, and structural type, resulting in more reliable predictions for bridge management.","Ademir F. Santos, Maurício S. Bonatte, H. Sousa, T. Bittencourt, J. Matos",2022,20,"Bridges have substantial significance within the transport system, considering that their functionality is essential for countries’ social and economic development. Accordingly, a superior level of safety and serviceability must be reached to ensure the operating status of the bridge network. On that account, the recent collapses of road bridges have led the technical–scientific community and society to reflect on the effectiveness of their management. Bridges in a network are likely to share coinciding environmental conditions but may be subjected to distinct structural deterioration processes over time depending on their age, location, structural type, and other aspects. This variation is usually not considered in the bridge management predictions. For instance, the Brazilian standards consider a constant inspection periodicity, regardless of the bridges’ singularities. Consequently, it is helpful to pinpoint and split the bridge network into classes sharing equivalent deterioration trends to obtain a more precise prediction and improve the frequency of inspections. This work presents a representative database of the Brazilian bridge network, including the most relevant data obtained from inspections. The database was used to calibrate two independent predictive models (Markov and artificial neural network). The calibrated model was employed to simulate different scenarios, resulting in significant insights to improve the inspection periodicity. As a result, the bridge’s location accounting for the differentiation of exposure was a critical point when analyzing the bridge deterioration process. Finally, the degradation models developed following the proposed procedure deliver a more reliable forecast when compared to a single degradation model without parameter analysis. These more reliable models may assist the decision process of the bridge management system (BMS).","","Buildings","1","10.3390/buildings12020124","https://consensus.app/papers/improvement-of-the-inspection-interval-of-highway-bridges-santos-bonatte/1a3e966485b25ffd9fc75570e372a385/"
"Modeling infrastructure degradation from visual inspections using network‐scale state‐space models","The proposed state-space model effectively models infrastructure degradation from visual inspections, accounting for inspector uncertainty and structural condition uncertainty.","Zachary Hamida, J. Goulet",2020,17,"Visual inspections is a common approach for the network‐scale monitoring of bridges. One of the main challenges when interpreting visual inspections is the observations being subjective and thus the observation uncertainty varies among different inspectors. In addition, observations uncertainties can be dependent on the structural element condition. These two factors introduce difficulties in differentiating between measurement errors and legitimate changes in a structure's condition. This study proposes a state‐space model suited for the network‐scale analyses of transportation infrastructure. The formulation of the proposed framework enables quantifying the uncertainty associated with each inspector. In addition, the proposed model accounts for the uncertainty of visual inspections based on the structure condition as well as the uncertainty specific to each inspector. The predictive capacity and robustness of the proposed model are verified with synthetic inspection data, where the true deterioration state is known. Following the verification step, the proposed model is validated with real data taken from a visual inspections database.","","Structural Control and Health Monitoring","1","10.1002/stc.2582","https://consensus.app/papers/modeling-infrastructure-degradation-from-visual-hamida-goulet/af0eaece266d5aa58e2f36a42e30cae5/"
"ML Models for Detecting QoE Degradation in Low-Latency Applications: A Cloud-Gaming Case Study","This paper evaluates eight unsupervised machine learning models for detecting QoE degradation in low-latency cloud gaming applications, recommending the most suitable one for different application requirements.","Joël Roman Ky, B. Mathieu, Abdelkader Lahmadi, R. Boutaba",2023,6,"Detecting abnormal network events is an important activity of Internet Service Providers particularly when running critical applications (e.g., ultra low-latency applications in mobile wireless networks). Abnormal events can stress the infrastructure and lead to severe degradation of user experience. Machine Learning (ML) models have demonstrated their relevance in many tasks including Anomaly Detection (AD). While promising remarkable performance compared to manual or threshold-based detection, applying ML-based AD methods is challenging for operators due to the proliferation of ML models and the lack of well-established methodology and metrics to evaluate them and select the most appropriate one. This paper presents a comprehensive evaluation of eight unsupervised ML models selected from different classes of ML algorithms and applied to AD in the context of cloud gaming applications. We collect cloud gaming Key Performance Indicators (KPIs) time-series datasets in real-world network conditions, and we evaluate and compare the selected ML models using the same methodology, and assess their robustness to data contamination, their efficiency and computational complexity. In addition to the traditional F1-score performance metric used in anomaly detection, we use Matthews Coefficient Correlation (MCC) to better differentiate between models’ efficiencies. Our proposed methodology relies on window-based anomaly detection techniques as they are more useful for network operators compared to single point detection approaches. However, we found most existing window-based approaches to lack in accuracy and may under or over-estimate a model’s performance. Therefore, in this paper, we propose a novel Window Anomaly Decision (WAD) approach that overcomes these drawbacks. We leverage our experimental results to provide insights about the most relevant models for detecting QoE degradation and offer recommendations on their suitability for different application requirements.","","IEEE Transactions on Network and Service Management","1","10.1109/tnsm.2023.3293806","https://consensus.app/papers/ml-models-for-detecting-qoe-degradation-in-lowlatency-ky-mathieu/cb79f058da9f50b994bd0bd8e2905b79/"
"Notes towards infrastructure governance for large language models","Large language models (LLMs) are contested artefacts with both categorising and performative capabilities, and dataset curation and participatory design can help address downstream harms in these technologies.","Lara Dal Molin",2024,2,"This paper draws on information infrastructures (IIs) in science and technology studies (STS), as well as on feminist STS scholarship and contemporary critical accounts of digital technologies, to build an initial mapping of the infrastructural mechanisms and implications of large language models (LLMs). Through a comparison with discriminatory machine learning (ML) systems and a case study on gender bias, I present LLMs as contested artefacts with categorising and performative capabilities. This paper suggests that generative systems do not tangibly depart from traditional, discriminative counterparts in terms of their underlying probabilistic mechanisms, and therefore both technologies can be theorised as infrastructures of categorisation. However, LLMs additionally retain performative capabilities through their linguistic outputs. Here, I outline the intuition behind this phenomenon, which I refer to as “language as infrastructure”. While traditional, discriminative systems “disappear” into larger IIs, the hype surrounding generative technologies presents an opportunity to scrutinise these artefacts, to alter their computational mechanisms and introduce governance measures]. I illustrate this thesis through Sharma’s formulation of “broken machine”, and suggest dataset curation and participatory design as governance mechanisms that can partly address downstream harms in LLMs (Barocas, et al., 2023).","","First Monday","1","10.5210/fm.v29i2.13567","https://consensus.app/papers/notes-towards-infrastructure-governance-for-large-molin/5890e43b01f251e4aece5e0b03cc9939/"
"Simulation of hardened cement degradation and estimation of uncertainty in predicted failure times with peridynamics","This study developed a chemomechanical model to predict concrete infrastructure failure due to chemical degradation, using peridynamics and sensitivity analysis to material properties.","R. Jones, J. Rimsza, J. Trageser, J. Hogancamp",2021,5,"","","Construction and Building Materials","1","10.1016/j.conbuildmat.2021.122927","https://consensus.app/papers/simulation-of-hardened-cement-degradation-and-estimation-jones-rimsza/213e68c330625268bb5053d3b2d57189/"
"Green AI: A Preliminary Empirical Study on Energy Consumption in DL Models Across Different Runtime Infrastructures","MXNet outperforms PyTorch and TensorFlow for computer vision models, while TensorFlow consistently outperforms CUDA, and converting models to ONNX improves performance in most cases.","Negar Alizadeh, Fernando Castor",2024,25,"Deep Learning (DL) frameworks such as PyTorch and TensorFlow include runtime infrastructures responsible for executing trained models on target hardware, managing memory, data transfers, and multi-accelerator execution, if applicable. Additionally, it is a common practice to deploy pre-trained models on environments distinct from their native development settings. This led to the introduction of interchange formats such as ONNX, which includes its runtime infrastructure, and ONNX Runtime, which work as standard formats that can be used across diverse DL frameworks and languages. Even though these runtime infrastructures have a great impact on inference performance, no previous paper has investigated their energy efficiency. In this study, we monitor the energy consumption and inference time in the runtime infrastructures of three well-known DL frameworks as well as ONNX, using three various DL models. To have nuance in our investigation, we also examine the impact of using different execution providers. We find out that the performance and energy efficiency of DL are difficult to predict. One framework, MXNet, outperforms both PyTorch and TensorFlow for the computer vision models using batch size 1, due to efficient GPU usage and thus low CPU usage. However, batch size 64 makes PyTorch and MXNet practically indistinguishable, while TensorFlow is outperformed consistently. For BERT, PyTorch exhibits the best performance. Converting the models to ONNX yields significant performance improvements in the majority of cases. Finally, in our preliminary investigation of execution providers, we observe that TensorRT always outperforms CUDA.","","2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN)","","10.1145/3644815.3644967","https://consensus.app/papers/green-ai-a-preliminary-empirical-study-on-energy-alizadeh-castor/0b8d7e933f6f57dc9cb31c48daa73d86/"
"Integrative modeling of performance deterioration and maintenance effectiveness for infrastructure assets with missing condition data","This paper presents a novel approach that integrates deterioration and maintenance effectiveness modeling, enabling more accurate long-term performance predictions for infrastructure assets.","P. Lin, Xian-Xun Yuan, Edgar Tovilla",2019,34,"Deterioration modeling is an important analytical component in infrastructure asset management. It concerns the prediction of performance and remaining service life of assets of different designs under omnifarious working environments. For long‐term prediction, it also requires to characterize maintenance effectiveness because maintenance activities do not necessarily bring an asset to a completely renewed status. Deterioration modeling research has for decades been largely focusing on the modeling of the natural deterioration process per se, whereas the modeling of maintenance effectiveness is only a recent focus of investigation, mainly in pavement research. In practice, the asset conditions immediately before and after a given maintenance treatment both are not often known. This has made the modeling of maintenance effectiveness and long‐term deterioration prediction a challenging task. To bridge the gap, this paper presents a novel approach that integrates the modeling of deterioration and maintenance effectiveness into one process. The natural deterioration of asset performance is modeled as a continuous‐time Markov chain, whereas the effectiveness of a maintenance measure is modeled as a discrete‐time Markov chain. To account for missing condition data before and after the maintenance event, the paper also develops a robust statistical method based on Markov chain Monte Carlo simulation. A real‐life case study on a municipal sewer pipe system is carried out for demonstration of the proposed integrated modeling approach. The functional deterioration of sewer pipes and the effectiveness of flushing operations that target to bring flow capacity to intact state are modeled. Influences of pipe length, diameter, slope, and sewershed area are examined. The present work is a valuable step toward development of evidence‐based risk‐informed asset management framework.","","Computer‐Aided Civil and Infrastructure Engineering","","10.1111/mice.12452","https://consensus.app/papers/integrative-modeling-of-performance-deterioration-and-lin-yuan/f3d25418e36550cdb83baa7b0ff0b9b9/"
"Automated Processing of eXplainable Artificial Intelligence Outputs in Deep Learning Models for Fault Diagnostics of Large Infrastructures","The proposed framework improves fault diagnosis accuracy in large infrastructure by 8% and reduces maintenance workload by 15%, while identifying anomalous explanations in images.","G. Floreale, P. Baraldi, Enrico Zio, Olga Fink",2025,2,"","","Eng. Appl. Artif. Intell.","1","10.1016/j.engappai.2025.110518","https://consensus.app/papers/automated-processing-of-explainable-artificial-floreale-baraldi/267003d5e87d50379baf33599bddbe92/"
"Black-box error diagnosis in Deep Neural Networks for computer vision: a survey of tools","This paper surveys tools for black-box performance diagnosis in Deep Neural Networks for computer vision, highlighting features and gaps in current proposals.","P. Fraternali, Federico Milani, Rocio Nahime Torres, Niccolò Zangrando",2022,12,"The application of Deep Neural Networks (DNNs) to a broad variety of tasks demands methods for coping with the complex and opaque nature of these architectures. When a gold standard is available, performance assessment treats the DNN as a black box and computes standard metrics based on the comparison of the predictions with the ground truth. A deeper understanding of performances requires going beyond such evaluation metrics to diagnose the model behavior and the prediction errors. This goal can be pursued in two complementary ways. On one side, model interpretation techniques “open the box” and assess the relationship between the input, the inner layers and the output, so as to identify the architecture modules most likely to cause the performance loss. On the other hand, black-box error diagnosis techniques study the correlation between the model response and some properties of the input not used for training, so as to identify the features of the inputs that make the model fail. Both approaches give hints on how to improve the architecture and/or the training process. This paper focuses on the application of DNNs to computer vision (CV) tasks and presents a survey of the tools that support the black-box performance diagnosis paradigm. It illustrates the features and gaps of the current proposals, discusses the relevant research directions and provides a brief overview of the diagnosis tools in sectors other than CV.","","Neural Computing and Applications","1","10.1007/s00521-022-08100-9","https://consensus.app/papers/blackbox-error-diagnosis-in-deep-neural-networks-for-fraternali-milani/c9e48f4f16045d419abff185c3a8fbe6/"
"Physics-informed neural network for lithium-ion battery degradation stable modeling and prognosis","The physics-informed neural network (PINN) accurately estimates lithium-ion battery state-of-health, demonstrating remarkable performance in various experiments and conditions compared to alternative neural networks.","Fujin Wang, Zhi Zhai, Zhibin Zhao, Yi Di, Xuefeng Chen",2024,375,"","","Nature Communications","1","10.1038/s41467-024-48779-z","https://consensus.app/papers/physicsinformed-neural-network-for-lithiumion-battery-wang-zhai/4e924851eae25258aefec213cdd896fa/"
